<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20061206,000000,51.99,52.69,51.90,52.13,1183300,0
PETR3.SA,D,20061207,000000,52.40,52.58,51.81,52.30,959200,0
PETR3.SA,D,20061208,000000,52.50,53.00,52.10,52.50,705300,0
PETR3.SA,D,20061211,000000,52.42,52.95,52.20,52.48,697300,0
PETR3.SA,D,20061212,000000,52.50,52.70,51.90,51.98,1126100,0
PETR3.SA,D,20061213,000000,52.20,52.26,51.34,52.05,1205500,0
PETR3.SA,D,20061214,000000,52.60,52.80,52.00,52.35,1023600,0
PETR3.SA,D,20061215,000000,52.86,52.99,52.11,52.44,854100,0
PETR3.SA,D,20061218,000000,52.66,53.49,51.93,52.10,2523700,0
PETR3.SA,D,20061219,000000,52.00,52.50,50.98,52.35,1688400,0
PETR3.SA,D,20061220,000000,52.90,53.39,52.45,53.30,1671500,0
PETR3.SA,D,20061221,000000,53.29,53.60,52.30,52.99,1029000,0
PETR3.SA,D,20061222,000000,52.80,53.25,52.40,52.55,746100,0
PETR3.SA,D,20061226,000000,52.80,53.30,52.70,53.21,822900,0
PETR3.SA,D,20061227,000000,53.30,54.30,53.20,54.30,820300,0
PETR3.SA,D,20061228,000000,54.35,55.00,53.50,54.49,1218100,0
PETR3.SA,D,20070102,000000,54.59,55.75,54.59,55.75,726200,0
PETR3.SA,D,20070103,000000,55.00,55.60,53.09,53.60,3310900,0
PETR3.SA,D,20070104,000000,53.40,53.50,51.90,52.00,3265500,0
PETR3.SA,D,20070105,000000,51.89,52.40,50.42,51.00,2495500,0
PETR3.SA,D,20070108,000000,51.30,52.06,50.81,51.30,2504300,0
PETR3.SA,D,20070109,000000,50.80,51.00,49.50,50.30,1572300,0
PETR3.SA,D,20070110,000000,49.30,50.20,49.10,50.20,1616400,0
PETR3.SA,D,20070111,000000,50.20,51.62,49.80,50.35,2562000,0
PETR3.SA,D,20070112,000000,50.30,50.70,49.90,50.52,1351200,0
PETR3.SA,D,20070115,000000,50.65,50.99,50.10,50.24,966800,0
PETR3.SA,D,20070116,000000,50.00,50.00,49.05,49.15,1140200,0
PETR3.SA,D,20070117,000000,49.29,49.57,48.61,49.15,2020800,0
PETR3.SA,D,20070118,000000,49.30,49.90,48.20,48.25,1649600,0
PETR3.SA,D,20070119,000000,48.71,50.40,48.70,50.40,1495700,0
PETR3.SA,D,20070122,000000,50.52,51.10,50.14,50.55,970400,0
PETR3.SA,D,20070123,000000,50.80,52.30,50.50,52.26,1269600,0
PETR3.SA,D,20070124,000000,52.31,52.70,51.22,52.64,1401500,0
PETR3.SA,D,20070126,000000,52.00,52.00,51.31,52.00,1240400,0
PETR3.SA,D,20070129,000000,52.05,52.05,50.60,50.70,1006800,0
PETR3.SA,D,20070130,000000,50.90,51.90,50.50,51.66,1649500,0
PETR3.SA,D,20070131,000000,51.40,52.00,50.90,52.00,1563800,0
PETR3.SA,D,20070201,000000,52.79,52.79,51.70,51.84,1683900,0
PETR3.SA,D,20070202,000000,51.79,52.56,51.47,52.45,1122400,0
PETR3.SA,D,20070205,000000,52.00,52.61,51.79,52.00,1230900,0
PETR3.SA,D,20070206,000000,52.49,52.49,50.90,51.29,1714700,0
PETR3.SA,D,20070207,000000,51.30,51.30,49.75,50.02,1658700,0
PETR3.SA,D,20070208,000000,50.00,51.00,49.63,50.99,2088800,0
PETR3.SA,D,20070209,000000,50.70,51.00,50.00,50.10,2130300,0
PETR3.SA,D,20070212,000000,50.11,50.16,49.30,49.44,1675000,0
PETR3.SA,D,20070213,000000,49.44,50.35,49.20,50.30,1423600,0
PETR3.SA,D,20070214,000000,50.90,51.00,49.30,49.45,2822900,0
PETR3.SA,D,20070215,000000,49.56,50.05,48.84,49.00,1192800,0
PETR3.SA,D,20070216,000000,49.15,49.38,48.60,48.99,418800,0
PETR3.SA,D,20070221,000000,48.80,49.10,48.06,49.10,1064000,0
PETR3.SA,D,20070222,000000,49.40,49.89,49.10,49.80,1652000,0
PETR3.SA,D,20070223,000000,49.96,50.60,49.91,50.00,1436900,0
PETR3.SA,D,20070226,000000,50.24,50.65,50.17,50.24,873700,0
PETR3.SA,D,20070227,000000,48.16,49.15,47.50,48.00,2364600,0
PETR3.SA,D,20070228,000000,48.20,48.50,47.20,47.85,2649400,0
PETR3.SA,D,20070301,000000,47.29,47.40,45.51,47.34,1898700,0
PETR3.SA,D,20070302,000000,46.99,47.21,45.79,45.99,2119800,0
PETR3.SA,D,20070305,000000,44.90,45.50,44.33,45.02,2216100,0
PETR3.SA,D,20070306,000000,46.10,46.75,45.80,46.50,1269400,0
PETR3.SA,D,20070307,000000,46.49,47.20,45.48,45.48,1266200,0
PETR3.SA,D,20070308,000000,47.00,47.56,46.70,47.12,793400,0
PETR3.SA,D,20070309,000000,47.76,48.00,46.90,47.30,1008200,0
PETR3.SA,D,20070312,000000,46.31,48.00,46.66,46.80,1238300,0
PETR3.SA,D,20070313,000000,46.45,46.99,45.75,45.98,1950200,0
PETR3.SA,D,20070314,000000,45.95,46.29,45.04,46.19,1291200,0
PETR3.SA,D,20070315,000000,46.88,46.88,45.52,45.70,1017500,0
PETR3.SA,D,20070316,000000,45.86,46.21,44.85,44.85,1113500,0
PETR3.SA,D,20070319,000000,46.00,46.00,45.25,45.55,1252300,0
PETR3.SA,D,20070320,000000,46.10,46.60,45.67,46.35,1560200,0
PETR3.SA,D,20070321,000000,46.60,48.09,46.50,47.90,1273700,0
PETR3.SA,D,20070322,000000,48.50,49.12,48.26,48.72,1082700,0
PETR3.SA,D,20070323,000000,49.00,49.50,48.70,49.00,1148600,0
PETR3.SA,D,20070326,000000,49.30,49.45,48.55,49.35,793500,0
PETR3.SA,D,20070327,000000,49.10,49.41,48.70,48.80,1106300,0
PETR3.SA,D,20070328,000000,49.10,49.52,48.75,48.80,1065600,0
PETR3.SA,D,20070329,000000,49.10,52.10,49.10,51.51,2764100,0
PETR3.SA,D,20070330,000000,51.50,52.10,50.83,51.74,1932700,0
PETR3.SA,D,20070402,000000,51.30,51.62,51.06,51.45,960000,0
PETR3.SA,D,20070403,000000,51.28,51.50,50.50,50.75,1365600,0
PETR3.SA,D,20070404,000000,50.45,51.69,50.29,51.53,1289100,0
PETR3.SA,D,20070405,000000,51.20,52.21,51.11,51.90,1059700,0
PETR3.SA,D,20070409,000000,51.80,52.66,51.71,51.80,1283300,0
PETR3.SA,D,20070410,000000,51.60,52.57,51.53,52.50,1582000,0
PETR3.SA,D,20070411,000000,52.50,53.00,51.85,51.90,1062800,0
PETR3.SA,D,20070412,000000,51.54,53.07,51.54,52.90,1437000,0
PETR3.SA,D,20070413,000000,53.05,53.80,52.86,53.60,1162300,0
PETR3.SA,D,20070416,000000,53.98,54.84,53.86,54.49,1011500,0
PETR3.SA,D,20070417,000000,54.41,54.85,53.30,53.70,877100,0
PETR3.SA,D,20070418,000000,53.37,53.67,52.97,53.00,1154400,0
PETR3.SA,D,20070419,000000,52.70,52.70,51.05,52.28,1379000,0
